"","meanN","lowN","highN","meanNbnsni","lowNbnsni","highNbnsni","meanNbns","lowNbns","highNbns","meanNnsnb","lowNnsnb","highNnsnb","meanPbd","lowPbd","highPbd","meanPs","lowPs","highPs"
"1",137.428458333333,129,150,0.487958333333333,0,3,2.21770833333333,1,5,10.9405,3,22,0.168834261052059,0.11662194884697,0.226848263421428,0.905555487474539,0.827760977215981,0.968617487569566
"2",143.385041666667,135,156,0.390416666666667,0,3,2.83766666666667,1,6,11.994625,4,23,0.191344405005728,0.138849855099467,0.247948103163839,0.897604422246222,0.82096185415821,0.960426459210409
"3",141.610791666667,133,154,0.344083333333333,0,2,2.74466666666667,1,5,12.2667083333333,4,23,0.18294534802712,0.13001084625351,0.240008926154673,0.895067415653469,0.816770158621501,0.958305805474093
"4",138.482625,130,152,0.568041666666667,0,2,1.486125,0,3,10.9145833333333,3,23,0.119744142821617,0.0717079396468264,0.174642880326508,0.912143297947305,0.827589027916028,0.979935684743435
"5",135.286291666667,125,151,0.329041666666667,0,1,0.329041666666667,0,1,10.95725,1,26,0.0373746148414081,0.00846904671118212,0.0822383490018066,0.91879441267816,0.823785799722399,0.992197535201533
"6",148.7925,140,162,0.319541666666667,0,2,2.702625,1,5,13.4729583333333,5,25,0.166987130057472,0.116189679451533,0.222358795879814,0.89238155311438,0.813763073077984,0.95767962862218
"7",159.461958333333,151,172,0.573791666666667,0,3,3.14483333333333,1,6,11.8881666666667,4,23,0.209336530294076,0.158163986826228,0.265138573123046,0.906718060516694,0.835776485331032,0.96535708263211
"8",164.293083333333,157,176,0.626875,0,4,4.02654166666667,2,8,10.6662083333333,4,20,0.273923845885754,0.218310478841249,0.333617452090379,0.911273113643895,0.845520043160372,0.963090948876293
"9",158.754625,152,171,1.13325,0,4,2.07058333333333,0,5,6.621375,1,16,0.238384380393933,0.185444649746233,0.295442074345902,0.946161354466738,0.879706374300883,0.991009982850186
"10",165.778833333333,159,177,1.011125,0,4,2.82925,1,6,7.76770833333333,2,16,0.266984708698557,0.211566919829895,0.326692235671858,0.936877228997731,0.874687590927638,0.983254617394668
"11",169.608791666667,162,182,1.00208333333333,0,4,2.82504166666667,1,6,8.60670833333333,2,18,0.247146244629043,0.195445535061234,0.302996698729661,0.933454595442995,0.869858485045525,0.981590183293369
"12",170.955416666667,164,183,1.03675,0,4,2.86141666666667,1,6,7.91866666666667,2,17,0.265379026100443,0.211719363684665,0.323631768607375,0.937722239164416,0.876392103102927,0.983144325559143
"13",176.362291666667,168,190,1.015625,0,4,2.837,1,6,9.34666666666667,2,20,0.2328824829023,0.18284173920511,0.2868426414583,0.931832172152085,0.865212994395655,0.98146855180997
"14",169.100291666667,164,180,1.224125,0,4,1.224125,0,4,3.87616666666667,0,12,0.24510800067802,0.193628715558035,0.300396917242872,0.970412424867422,0.910644331143476,0.998949743016595
"15",169.4955,163,183,1.283,0,4,1.283,0,4,5.2125,0,16,0.201001379646211,0.152000451332932,0.254399027907378,0.962527463266526,0.893070408675714,0.998653729270769
"16",170.919208333333,163,185,1.299125,0,4,1.299125,0,4,6.62008333333333,0,19,0.166248204889291,0.119312206412853,0.217819542355139,0.954759227641648,0.880301731601756,0.997823865277796
"17",176.128875,165,194,0.98275,0,3,0.98275,0,3,11.146125,1,28,0.0825441509807691,0.0443414950002924,0.128078485797452,0.932912441235088,0.844667422186587,0.995376243973291
"18",177.359583333333,165,195,0.20975,0,2,1.71504166666667,0,4,18.1498333333333,6,35,0.0863069875323717,0.0470521051154308,0.134071449309306,0.889538688477751,0.805533249557413,0.960649829005626
"19",173.433541666667,160,192,0.0695833333333333,0,1,1.274625,0,3,19.3639583333333,6,37,0.0612145935576111,0.0265243046584904,0.106315363957562,0.882527865326343,0.792866576802919,0.958444419748013
"20",172.286333333333,159,190,0.0664583333333333,0,1,1.27525,0,3,19.219875,6,37,0.0616076650190604,0.0269019524062748,0.106501167374619,0.882497297872222,0.79480156868706,0.957263144719193
