"","meanN","lowN","highN","meanNbnsni","lowNbnsni","highNbnsni","meanNbns","lowNbns","highNbns","meanNnsnb","lowNnsnb","highNnsnb","meanPbd","lowPbd","highPbd","meanPs","lowPs","highPs"
"1",317.864208333333,292,349,3.116,0,8,6.08541666666667,2,11,38.7482083333333,16,66,0.135719551812817,0.101359178665839,0.173806600571887,0.860788947844037,0.781256192211819,0.935030894562833
"2",339.275916666667,314,372,2.36375,0,8,9.11133333333333,5,15,47.9121666666667,25,76,0.159726767491031,0.124065372080744,0.198243003415865,0.833454212998102,0.758525191177951,0.902995688540546
"3",338.892875,313,372,2.08329166666667,0,7,8.78316666666667,4,14,50.8095833333333,27,80,0.147423225236457,0.112596438605485,0.185470676373951,0.825723272753841,0.749161352655278,0.896792886256005
"4",341.244708333333,311,380,1.679125,0,6,5.52225,2,10,55.5655833333333,27,91,0.0904260730843166,0.0606110047452771,0.124715518720423,0.823065784615852,0.737056159554873,0.903021998684611
"5",345.626666666667,312,389,0.155208333333333,0,2,1.53070833333333,0,4,65.4714583333333,32,108.024999999998,0.0226852068937985,0.00737290488761435,0.0456804785292239,0.80849077405061,0.71484406822095,0.896456144729619
"6",363.923625,336,401,1.58279166666667,0,7,9.043125,5,15,61.3408333333333,35,94,0.128379056978437,0.0949390399810011,0.165302316923515,0.808122756780905,0.731009366182406,0.879566290698141
"7",393.187875,366,429,2.082875,0,8,12.4716666666667,7,19,61.105,36,92,0.169444204239101,0.134899808860157,0.206700881265655,0.814090914308865,0.743328919827836,0.87967493942736
"8",407.518166666667,384,441,2.07825,0,10,18.859125,12,28,60.4399166666667,39,87,0.23778537739887,0.199193589950932,0.27921525806888,0.806060168371865,0.742062133385761,0.8662988770759
"9",398.381458333333,374,431,2.985375,0,10,12.6438333333333,7,20,49.3960833333333,28,76,0.20384920164972,0.166696756275675,0.243398307151288,0.84540324075632,0.778905012487213,0.906097579868654
"10",407.565166666667,385,439,3.34866666666667,0,11,13.0471666666667,7,21,43.2165,24,68,0.231928427472116,0.194433376734741,0.271219101588535,0.862941440012039,0.799850152623243,0.918857787187066
"11",411.878375,388,444,3.53233333333333,0,11,11.3427916666667,6,19,42.3460416666667,22,68,0.211221944643953,0.175295966384362,0.249592759213663,0.870700145340173,0.806362166017653,0.928224167669944
"12",436.305125,411,470,3.40654166666667,0,11,14.069625,8,22,48.8985833333333,27,76,0.223522929248149,0.186983488955409,0.262144916074363,0.856658128702287,0.793372697491433,0.913345863554701
"13",451.502625,423,488,3.35566666666667,0,11,13.0667916666667,7,21,56.1469583333333,31,87,0.188748669636135,0.154849388504159,0.224953145387313,0.84784579677158,0.782047307684643,0.908112429449548
"14",461.821416666667,434,499,2.88816666666667,0,11,16.3199583333333,10,25,63.93325,39,94,0.203384637635819,0.168880739246004,0.240523716791337,0.827173991146979,0.763738340409005,0.885002641447295
"15",465.139583333333,433,507,2.864125,0,10,12.5178333333333,7,20,68.2754583333333,39,104,0.154926344340187,0.123185682011788,0.188929122428824,0.82759541892048,0.757131910675324,0.891502336600228
"16",474.530958333333,439,521,2.0195,0,8,11.454,6,18,81.5114583333333,48,123,0.123221305357154,0.0939545130589212,0.154858360910405,0.805546082523966,0.731592937281721,0.874188966211926
"17",468.944541666667,427,522,1.206625,0,5,4.931625,2,9,82.7379166666667,42,134,0.056283050887004,0.034722521102554,0.0817047818545195,0.815214332661127,0.729302169116377,0.895643296002166
"18",468.469916666667,426,523,0.648708333333333,0,4,4.91383333333333,2,9,89.8212083333333,48,142,0.0518600933736355,0.0311035444290472,0.0769644004285871,0.799806676090491,0.712779169673917,0.879601713086922
"19",455.112625,411,510,0.524166666666667,0,3,3.07029166666667,1,6,84.5884583333333,41,139,0.0349827407353009,0.017960680394406,0.056922129057835,0.809731996759935,0.719163221853187,0.895408272588381
"20",451.45575,408,506,0.522833333333333,0,3,3.078625,1,6,83.9329166666667,41,137,0.0353841182626281,0.0180312693905493,0.0574657512966246,0.809602968026967,0.719086506511981,0.895130219804151
