"","meanN","lowN","highN","meanNbnsni","lowNbnsni","highNbnsni","meanNbns","lowNbns","highNbns","meanNnsnb","lowNnsnb","highNnsnb","meanPbd","lowPbd","highPbd","meanPs","lowPs","highPs"
"1",184.891333333333,156,227,2.99004166666667,0,8,3.98004166666667,1,9,31.9012916666667,6,70,0.110851904352935,0.0734010968005416,0.152583961880163,0.813516927690244,0.655075135174241,0.953132794519732
"2",207.017291666667,176,252.024999999998,2.90141666666667,0,9,6.780375,2,13,46.115875,18,86,0.12824521130268,0.0903839685321305,0.170645152533608,0.751062285808088,0.609916578272862,0.88003744953283
"3",211.332541666667,178,262,2.948,0,10,6.83079166666667,3,14,51.3845416666667,21,96,0.117351710283335,0.0798493460213963,0.159379401476728,0.731894273467317,0.583817962694149,0.866577828867737
"4",224.00925,182,290,2.78629166666667,0,9,5.704375,2,12,64.2229583333333,25,125,0.0815608405604156,0.0466126337419373,0.122519937985949,0.697638049213316,0.531542889747971,0.849855131832585
"5",244.64625,188,339,1.061375,0,6,2.74425,0,8,87.584875,32,179,0.030351406339949,0.00700731004689916,0.0664797503612311,0.645227127730417,0.453831910072363,0.824479981746069
"6",238.559583333333,197,301,3.03970833333333,0,10,7.85858333333333,3,15,69.519875,31,126,0.101503234874804,0.0650094959020882,0.14332230692844,0.683881949435163,0.534727804637161,0.825015602990083
"7",260.301375,219,322,3.3445,0,12,11.0087916666667,5,20,73.956875,36,128,0.129576488524657,0.0926329574462432,0.17054357872129,0.680186779255683,0.542806840118986,0.807580723682949
"8",272.181541666667,235,328,3.355625,0,14,16.559875,9,28,76.8259166666667,43,124,0.177341157727265,0.136473576093712,0.221810955843762,0.661337289026892,0.542050785523873,0.772931468378476
"9",261.483333333333,227,312,3.214875,0,12,11.80375,6,21,63.2684583333333,32,107,0.157230511813162,0.118637321008404,0.199493558942898,0.717753690849645,0.595363316423058,0.830320148465609
"10",256.38375,228,299,2.96845833333333,0,11,10.601375,5,19,49.4152916666667,24,85,0.176617825688688,0.137420855997623,0.219948374514899,0.769629110563041,0.656313137413809,0.871105606842076
"11",254.42725,226,297,3.04225,0,10,8.81108333333333,4,16,45.385,20,81,0.16262632082839,0.124598452015853,0.204267907900545,0.790994688307292,0.673718756864089,0.893868760495031
"12",284.676708333333,251,333,3.3505,0,12,11.97225,6,21,59.3262083333333,29,100,0.167884245569811,0.130035239700438,0.20973330210211,0.753408037478403,0.638988236095318,0.857663032123617
"13",298.546,259,355,3.71508333333333,0,12,11.4544583333333,5,20,68.8309166666667,33,118,0.142701539169393,0.106832382213416,0.182590951001168,0.735790914106357,0.614471638985146,0.848593406167492
"14",333.97575,286,404,4.51508333333333,0,16,17.9930416666667,9,30,98.4606666666667,55,159,0.154543973575718,0.118005637328183,0.19487455498654,0.65630627492421,0.536594819164345,0.767334474396004
"15",341.717541666667,286,423,4.45670833333333,0,15,14.1357083333333,7,25,106.260833333333,55,178,0.1174310342031,0.0834309705378848,0.154981901328145,0.654272580784043,0.52282473698407,0.779054140183381
"16",368.6155,297,481,4.735375,0,17,14.36675,6,27,135.880125,69,239,0.0956058501601917,0.0640183810278931,0.130832007296602,0.601501185811779,0.453276543047376,0.740752530634648
"17",340.383833333333,271,453,2.57808333333333,0,10,6.367375,2,14,116.80575,49.975,224,0.051690889014222,0.0257759693315235,0.0837219299052569,0.649115640855348,0.478689852543883,0.805797497501942
"18",334.615041666667,264,449,2.15995833333333,0,9,4.97775,1,12,113.455083333333,45,224,0.0420819838736208,0.0181557969221358,0.0737455122201095,0.658087996525971,0.480820436209681,0.821319263333312
"19",309.671625,244,413,2.00758333333333,0,7,2.99133333333333,1,8,91.6640416666667,28,191,0.0315075356247841,0.0109409832437591,0.0607188262014084,0.706788835834429,0.520895704214158,0.880582849341778
"20",306.595958333333,242,406,1.990875,0,7,2.97520833333333,1,8,90.6050833333333,28,187,0.0318820278946441,0.0109901575784807,0.0620952627536037,0.707238595413252,0.524881176855194,0.880716483778621
